PARK_NAME,ACCESS_TYP,GIS_ACRES,AGNCY_NAME,AGNCY_TYP,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,IS_COUNTY,Shape__Area,Shape__Length
Coombs Parkette,Open Access,0.46077222,"Culver City, City of",City Agency,Local Park,34.00856443,-118.3999861,0,Culver City,90230,No,20071.15918,589.5001889
Mar Vista Gardens,Open Access,3.12752397,"Los Angeles, City of",City Agency,Local Park,33.99309471,-118.4115937,4909 Marionwood Dr,Culver City,90230,No,136234.3984,1412.305537
Culver Slauson Park,Open Access,3.01257964,"Los Angeles, City of",City Agency,Local Park,33.99418758,-118.4059524,5070  Slauson Ave,Culver City,90230,No,131227.4424,1642.299035
La Ballona Playground,Restricted Access,3.3574783,Culver City Unified School District,School District,Regional Open Space,34.01366938,-118.4099582,10915 Washington Blvd,Culver City,90232,No,146251.1738,1803.918687
Linwood E. Howe Elementary/Playground,Restricted Access,2.15443751,Culver City Unified School District,School District,Local Park,34.02232711,-118.3929022,4100 Irving Pl,Culver City,90232,No,93846.92188,1229.814308
Ivy Substation and Media Park,Open Access,1.7147493,"Culver City, City of",City Agency,Local Park,34.02613567,-118.3932458,9091 Culver Blvd,Culver City,90232,No,74694.17969,1331.74606
National Mini Park,Open Access,0.09653415,"Culver City, City of",City Agency,Regional Open Space,34.02790816,-118.3865106,9505 Jefferson Blvd,Culver City,90232,No,4205.013672,336.0142137
Culver City Park,Open Access,38.58264059,"Culver City, City of",City Agency,Local Park,34.01544469,-118.3857726,9910 Jefferson Blvd,Culver City,90232,No,1680653.104,6539.921482
Blair Hills Park,Open Access,1.80053364,"Culver City, City of",City Agency,Local Park,34.01563258,-118.3782062,5950 Wrightcrest Dr,Culver City,90232,No,78430.93262,1360.913233
Carlson Park,Open Access,2.44293991,"Culver City, City of",City Agency,Local Park,34.013723,-118.3979435,Carlson Park,Culver City,90232,No,106414.0352,1404.001488
Syd Kronenthal Park,Open Access,6.11408409,"Culver City, City of",City Agency,Local Park,34.02774424,-118.3773914,3459 McManus Ave,Culver City,90232,No,266328.4404,2809.120252
Tellefson Park,Open Access,1.30146793,"Culver City, City of",City Agency,Local Park,34.01015225,-118.4124038,11057 Washington Pl,Culver City,90232,No,56691.71582,1118.7049
Stoneview Nature Center,Open Access,5.01549209,"Los Angeles, County of",County Agency,Local Park,34.01419098,-118.3769626,5950 Stoneview Dr.,Culver City,90232,Yes,218473.9658,1895.410795
Kenneth Hahn State Recreation Area,Open Access,20.82256097,Rose Hills Memorial Park Association,Cemetery District,Regional Open Space,34.0140636,-118.3777913,4100 S La Cienega Blvd,Culver City,90232,No,907027.1211,5804.118958
Will Rogers SHP,Open Access,187.8231909,California Department of Parks and Recreation,State Agency,Local Park,34.0558975,-118.5127119,1501 Will Rogers State Park Rd,Pacific Palisades,90272,No,8181545.451,19900.7823
Topanga State Park,Open Access,11438.34552,California Department of Parks and Recreation,State Agency,Regional Open Space,34.08647117,-118.5622954,20828 Entrada Rd,Pacific Palisades,90272,No,498252337.7,401200.8753
Santa Ynez Reservoir,No Public Access,58.12460974,"Los Angeles - Department of Water and Power, City of",City Agency,Natural Areas,34.0725618,-118.5685518,Santa Ynez Waterfall Trail,Pacific Palisades,90272,No,2531897.873,7473.031211
